School,Zip Code,City,State,Admissions Rate,Median ACT,Average SAT,# of Undergrads,Graduation Rate, Median Debt After Graduation , Median Salary (2-years post-graduation) ,Economic Connectedness
North Carolina Wesleyan College,27804,Rocky Mount,NC,47.59%,18,938,1596,31.45%," $23,828.00 "," $33,842.00 ",57.30%
North Central College,60540,Naperville,IL,53.29%,25,1164,2453,66.49%," $24,289.00 "," $43,530.00 ",87.26%
North Central University,55404-1391,Minneapolis,MN,92.99%,21,1077,921,53.49%," $23,154.00 "," $34,950.00 ",89.18%
North Dakota State University-Main Campus,58108-6050,Fargo,ND,94.10%,23,1150,10311,62.33%," $23,000.00 "," $47,967.00 ",86.57%
North Florida College,32340,Madison,FL,Data Not Available,Data Not Available,Data Not Available,787,45.04%, Data Not Available ," $28,584.00 ",42.14%
North Greenville University,29688-1892,Tigerville,SC,65.33%,21,1082,1731,51.46%," $22,852.00 "," $33,295.00 ",74.96%
North Park University,60625-4895,Chicago,IL,43.96%,22,1055,1840,59.06%," $25,125.00 "," $45,458.00 ",86.38%
North Seattle College,98103-3599,Seattle,WA,Data Not Available,Data Not Available,Data Not Available,2873,30.09%," $13,004.00 "," $37,674.00 ",Data Not Available
NorthShore University HealthSystem School of Nurse Anesthesia,60201-1718,Evanston,IL,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Northcentral University,92037,La Jolla,CA,Data Not Available,Data Not Available,Data Not Available,176,Data Not Available," $14,319.00 "," $32,700.00 ",Data Not Available
Northeast College of Health Sciences,13148-0800,Seneca Falls,NY,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Northeast Ohio Medical University,44272-0095,Rootstown,OH,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Northeastern Illinois University,60625-4699,Chicago,IL,60.70%,18,915,5170,23.17%," $15,000.00 "," $39,609.00 ",72.31%
Northeastern Seminary,14624,Rochester,NY,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Northeastern State University,74464-2399,Tahlequah,OK,99.49%,21,1069,5646,35.54%," $17,500.00 "," $35,563.00 ",70.46%
Northeastern University,02115-5005,Boston,MA,20.48%,34,1492,15130,89.83%," $24,500.00 "," $65,632.00 ",89.69%
Northeastern University Professional Programs,2115,Boston,MA,Data Not Available,Data Not Available,Data Not Available,2004,Data Not Available," $24,500.00 "," $65,632.00 ",Data Not Available
Northern Arizona University,86011-4092,Flagstaff,AZ,81.64%,Data Not Available,Data Not Available,24880,56.87%," $19,375.00 "," $41,369.00 ",82.08%
Northern Baptist Theological Seminary,60532-1348,Lisle,IL,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Northern Illinois University,60115-2828,Dekalb,IL,59.25%,Data Not Available,Data Not Available,12247,47.90%," $22,500.00 "," $43,408.00 ",79.26%
Northern Kentucky University,41099,Highland Heights,KY,87.03%,23,1144,9604,46.64%," $23,250.00 "," $38,625.00 ",78.69%
Northern Marianas College,96950-1250,Saipan,MP,Data Not Available,Data Not Available,Data Not Available,1230,25.91%, Data Not Available ," $20,039.00 ",54.22%
Northern Michigan University,49855-5301,Marquette,MI,66.89%,Data Not Available,Data Not Available,6505,46.56%," $21,260.00 "," $35,323.00 ",72.30%
Northern New Mexico College,87532,Espanola,NM,Data Not Available,Data Not Available,Data Not Available,778,31.25%," $9,395.00 "," $28,534.00 ",15.16%
Northern State University,57401-7198,Aberdeen,SD,78.71%,22,1119,1384,45.22%," $21,750.00 "," $36,284.00 ",80.65%
Northern Vermont University,05656-9464,Johnson,VT,75.77%,Data Not Available,Data Not Available,1555,44.08%," $22,424.00 "," $31,235.00 ",74.88%
Northland College,54806-3999,Ashland,WI,64.30%,23,1138,553,56.00%," $24,500.00 "," $32,334.00 ",77.54%
Northpoint Bible College,1835,Haverhill,MA,Data Not Available,Data Not Available,Data Not Available,255,44.44%," $24,625.00 "," $31,078.00 ",Data Not Available
Northwest Florida State College,32578-1295,Niceville,FL,Data Not Available,Data Not Available,Data Not Available,3465,32.86%," $6,459.00 "," $29,013.00 ",54.86%
Northwest Indian College,98226-9217,Bellingham,WA,Data Not Available,Data Not Available,Data Not Available,529,24.14%, Data Not Available ," $23,252.00 ",32.36%
Northwest Missouri State University,64468-6001,Maryville,MO,80.11%,22,1104,5151,54.05%," $21,500.00 "," $37,907.00 ",84.76%
Northwest Nazarene University,83686-5897,Nampa,ID,76.83%,22,1098,1220,62.31%," $23,250.00 "," $40,736.00 ",79.67%
Northwest University,98083-0579,Kirkland,WA,92.77%,22,1110,821,57.74%," $20,500.00 "," $44,037.00 ",88.64%
Northwest University-Center for Online and Extended Education,98033,Kirkland,WA,Data Not Available,Data Not Available,Data Not Available,574,Data Not Available," $20,500.00 "," $44,037.00 ",Data Not Available
Northwestern College,51041,Orange City,IA,73.77%,23,1146,1040,68.57%," $23,250.00 "," $40,388.00 ",87.56%
Northwestern Health Sciences University,55431,Bloomington,MN,Data Not Available,Data Not Available,Data Not Available,237,66.67%," $7,718.00 "," $38,692.00 ",Data Not Available
Northwestern Michigan College,49686,Traverse City,MI,Data Not Available,Data Not Available,Data Not Available,2829,23.48%," $12,836.00 "," $30,292.00 ",60.98%
Northwestern Oklahoma State University,73717-2799,Alva,OK,70.26%,20,1021,1488,25.81%," $16,467.00 "," $35,166.00 ",78.99%
Northwestern State University of Louisiana,71497-0002,Natchitoches,LA,94.85%,20,1050,8181,47.49%," $24,708.00 "," $35,254.00 ",56.99%
Northwestern University,60208,Evanston,IL,9.31%,34,1505,8401,94.95%," $15,000.00 "," $67,867.00 ",91.55%
Northwood University,48640-2398,Midland,MI,76.80%,22,1093,2218,58.11%," $20,841.00 "," $49,169.00 ",80.89%
Norwich University,05663-1035,Northfield,VT,74.17%,Data Not Available,Data Not Available,3182,56.67%," $25,693.00 "," $49,524.00 ",80.01%
Notre Dame College,44121-4293,Cleveland,OH,87.43%,Data Not Available,Data Not Available,1217,42.86%," $27,000.00 "," $38,859.00 ",72.80%
Notre Dame de Namur University,94002-1908,Belmont,CA,Data Not Available,Data Not Available,Data Not Available,211,48.57%," $25,000.00 "," $55,111.00 ",Data Not Available
Notre Dame of Maryland University,21210-2476,Baltimore,MD,62.29%,Data Not Available,Data Not Available,751,48.60%," $22,500.00 "," $48,197.00 ",86.12%
Nova Southeastern University,33314-7796,Fort Lauderdale,FL,76.24%,24,1145,6254,62.30%," $25,000.00 "," $43,703.00 ",81.62%
Nueta Hidatsa Sahnish College,58763,New Town,ND,Data Not Available,Data Not Available,Data Not Available,169,0.00%, Data Not Available ," $48,061.00 ",Data Not Available
Nyack College,10004,New York,NY,97.32%,19,965,1171,42.92%," $25,999.00 "," $33,665.00 ",77.30%
Oak Hills Christian College,56601-8834,Bemidji,MN,62.70%,19,1009,98,32.14%," $15,250.00 "," $28,209.00 ",Data Not Available
Oak Point University,60523,Oak Brook,IL,Data Not Available,Data Not Available,Data Not Available,671,Data Not Available," $25,000.00 "," $69,515.00 ",Data Not Available
Oak Valley College,92377,Rialto,CA,Data Not Available,Data Not Available,Data Not Available,59,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Oakland City University,47660-1099,Oakland City,IN,63.31%,19,1021,548,56.92%," $18,750.00 "," $36,933.00 ",72.33%
Oakland University,48309-4401,Rochester Hills,MI,81.10%,24,1110,14837,56.45%," $23,977.00 "," $42,445.00 ",76.85%
Oakwood University,35896,Huntsville,AL,88.81%,Data Not Available,Data Not Available,1320,50.00%," $27,000.00 "," $28,749.00 ",73.67%
Oberlin College,44074,Oberlin,OH,35.36%,31,1348,2647,86.20%," $25,986.00 "," $37,507.00 ",90.62%
Oblate School of Theology,78216-6693,San Antonio,TX,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Occidental College,90041-3392,Los Angeles,CA,40.90%,31,1378,1835,83.64%," $22,336.00 "," $47,008.00 ",92.42%
Oglala Lakota College,57752-0490,Kyle,SD,Data Not Available,Data Not Available,Data Not Available,1171,5.98%, Data Not Available ," $16,588.00 ",17.83%
Oglethorpe University,30319-2797,Atlanta,GA,66.93%,25,1203,1415,51.08%," $26,000.00 "," $37,900.00 ",78.63%
Ohio Christian University,43113-9487,Circleville,OH,Data Not Available,Data Not Available,Data Not Available,1448,33.81%," $29,573.00 "," $29,845.00 ",Data Not Available
Ohio Dominican University,43219,Columbus,OH,49.50%,Data Not Available,Data Not Available,942,52.89%," $26,464.00 "," $39,162.00 ",79.51%
Ohio Northern University,45810-1599,Ada,OH,65.20%,25,1218,2064,75.96%," $27,000.00 "," $63,550.00 ",84.54%
Ohio State University-Lima Campus,45804,Lima,OH,Data Not Available,Data Not Available,Data Not Available,904,17.75%," $20,500.00 "," $44,737.00 ",Data Not Available
Ohio State University-Main Campus,43210,Columbus,OH,68.49%,29,1337,45862,87.03%," $20,500.00 "," $44,737.00 ",78.72%
Ohio State University-Mansfield Campus,44906,Mansfield,OH,Data Not Available,Data Not Available,Data Not Available,912,20.26%," $20,500.00 "," $44,737.00 ",Data Not Available
Ohio State University-Marion Campus,43302-5695,Marion,OH,Data Not Available,Data Not Available,Data Not Available,1058,12.83%," $20,500.00 "," $44,737.00 ",Data Not Available
Ohio State University-Newark Campus,43055,Newark,OH,Data Not Available,Data Not Available,Data Not Available,2736,31.58%," $20,500.00 "," $44,737.00 ",Data Not Available
Ohio University-Main Campus,45701-2979,Athens,OH,87.49%,24,1166,18752,66.12%," $20,629.00 "," $39,914.00 ",81.36%
Ohio Valley University,26105-8000,Vienna,WV,94.81%,21,1023,235,25.00%," $24,750.00 "," $32,212.00 ",77.73%
Ohio Wesleyan University,43015-2370,Delaware,OH,68.40%,Data Not Available,Data Not Available,1422,66.59%," $27,000.00 "," $39,983.00 ",85.86%
Oklahoma Baptist University,74804,Shawnee,OK,58.21%,23,1138,1610,54.66%," $22,795.00 "," $36,416.00 ",88.00%
Oklahoma Christian University,73013,Edmond,OK,61.21%,24,1162,1601,59.52%," $26,213.00 "," $37,322.00 ",87.56%
Oklahoma City University,73106-1402,Oklahoma City,OK,73.10%,26,1213,1520,70.51%," $21,047.00 "," $42,974.00 ",87.26%
Oklahoma Panhandle State University,73939-0430,Goodwell,OK,Data Not Available,Data Not Available,Data Not Available,1245,26.72%," $14,100.00 "," $35,525.00 ",75.43%
Oklahoma State University Center for Health Sciences,74107-1898,Tulsa,OK,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Oklahoma State University Institute of Technology,74447-3901,Okmulgee,OK,Data Not Available,Data Not Available,Data Not Available,2091,40.98%," $12,000.00 "," $35,712.00 ",54.46%
Oklahoma State University-Main Campus,74078-1015,Stillwater,OK,67.09%,25,1186,19782,63.75%," $20,500.00 "," $43,292.00 ",82.13%
Oklahoma State University-Oklahoma City,73107-6195,Oklahoma City,OK,Data Not Available,Data Not Available,Data Not Available,4189,16.63%," $14,519.00 "," $33,191.00 ",48.77%
Oklahoma Wesleyan University,74006-6299,Bartlesville,OK,82.66%,21,1056,790,36.02%," $24,500.00 "," $44,579.00 ",83.38%
Old Dominion University,23529,Norfolk,VA,95.41%,22,1071,19391,52.73%," $24,697.00 "," $42,015.00 ",79.88%
Olivet College,49076,Olivet,MI,60.31%,Data Not Available,Data Not Available,968,48.84%," $27,000.00 "," $37,866.00 ",72.23%
Olivet Nazarene University,60914-2271,Bourbonnais,IL,66.57%,23,1101,2757,65.08%," $25,250.00 "," $42,320.00 ",86.93%
Olympic College,98337-1699,Bremerton,WA,Data Not Available,Data Not Available,Data Not Available,4316,29.57%," $12,000.00 "," $33,562.00 ",57.08%
Omega Graduate School,37321-6736,Dayton,TN,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Oral Roberts University,74171,Tulsa,OK,78.39%,23,1133,3080,55.66%," $27,000.00 "," $35,313.00 ",83.60%
Oregon College of Oriental Medicine,97209,Portland,OR,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Oregon Health & Science University,97239-3098,Portland,OR,Data Not Available,Data Not Available,Data Not Available,809,Data Not Available," $16,625.00 "," $84,979.00 ",Data Not Available
Oregon Institute of Technology,97601-8801,Klamath Falls,OR,95.13%,24,1117,3571,51.38%," $23,000.00 "," $61,389.00 ",71.24%
Oregon State University,97331,Corvallis,OR,82.21%,25,1204,26048,69.32%," $21,793.00 "," $44,536.00 ",80.24%
Oregon State University-Cascades Campus,97702,Bend,OR,76.69%,23,1132,1045,Data Not Available," $21,793.00 "," $44,536.00 ",Data Not Available
Otis College of Art and Design,90045-3505,Los Angeles,CA,80.32%,Data Not Available,Data Not Available,1030,73.11%," $27,000.00 "," $44,072.00 ",87.82%
Ottawa University-Kansas City,66211,Overland Park,KS,Data Not Available,Data Not Available,Data Not Available,250,Data Not Available," $21,813.00 "," $42,665.00 ",Data Not Available
Ottawa University-Milwaukee,53005,Brookfield,WI,Data Not Available,Data Not Available,Data Not Available,104,Data Not Available," $21,813.00 "," $42,665.00 ",Data Not Available
Ottawa University-Online,66067,Ottawa,KS,Data Not Available,Data Not Available,Data Not Available,139,Data Not Available," $21,813.00 "," $42,665.00 ",Data Not Available
Ottawa University-Ottawa,66067-3399,Ottawa,KS,70.30%,20,1012,719,36.69%," $21,813.00 "," $42,665.00 ",84.88%
Ottawa University-Phoenix,85021,Phoenix,AZ,Data Not Available,Data Not Available,Data Not Available,387,Data Not Available," $21,813.00 "," $42,665.00 ",Data Not Available
Ottawa University-Surprise,85374,Surprise,AZ,28.35%,24,1081,724,Data Not Available," $21,813.00 "," $42,665.00 ",Data Not Available
Otterbein University,43081,Westerville,OH,76.06%,24,1158,2233,65.71%," $26,000.00 "," $41,054.00 ",86.66%
Ouachita Baptist University,71998-0001,Arkadelphia,AR,61.77%,25,1203,1520,60.48%," $22,811.00 "," $38,561.00 ",83.42%
Our Lady of the Lake University,78207-4689,San Antonio,TX,73.97%,18,971,1261,38.10%," $25,000.00 "," $37,750.00 ",71.84%
Ozark Christian College,64801,Joplin,MO,98.18%,Data Not Available,Data Not Available,625,56.74%," $17,919.00 "," $29,823.00 ",89.25%
Pace University,10038-1598,New York,NY,82.87%,25,1163,7710,58.51%," $24,958.00 "," $50,574.00 ",91.27%
Pacific Islands University,96913,Mangilao,GU,97.32%,Data Not Available,Data Not Available,273,37.50%, Data Not Available ," $20,756.00 ",Data Not Available
Pacific Lutheran University,98447-0003,Tacoma,WA,86.30%,Data Not Available,Data Not Available,2509,71.25%," $23,000.00 "," $49,192.00 ",87.10%
Pacific Northwest College of Art,97209-3404,Portland,OR,95.97%,Data Not Available,Data Not Available,445,42.47%," $25,000.00 "," $28,455.00 ",Data Not Available
Pacific Northwest University of Health Sciences,98901,Yakima,WA,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Pacific Oaks College,91103,Pasadena,CA,26.67%,Data Not Available,Data Not Available,496,Data Not Available," $26,319.00 "," $38,428.00 ",Data Not Available
Pacific Rim Christian University,96819-2228,Honolulu,HI,60.00%,Data Not Available,Data Not Available,120,25.00%, Data Not Available ," $35,722.00 ",Data Not Available
Pacific School of Religion,94709,Berkeley,CA,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Pacific States University,90010-2263,Los Angeles,CA,Data Not Available,Data Not Available,Data Not Available,2,0.00%, Data Not Available , Data Not Available ,Data Not Available
Pacific Union College,94508-9707,Angwin,CA,59.17%,21,1030,940,51.24%," $27,000.00 "," $48,131.00 ",88.81%
Pacific University,97116,Forest Grove,OR,89.30%,25,1166,1706,63.83%," $25,000.00 "," $42,858.00 ",81.82%
Paine College,30901-3182,Augusta,GA,74.99%,17,899,179,7.84%," $30,747.00 "," $25,018.00 ",49.78%
Palm Beach Atlantic University,33401,West Palm Beach,FL,91.71%,24,1127,2370,56.70%," $22,512.00 "," $37,275.00 ",80.78%
